,Date,Company,Title,Location,Description,Level,Link
26,1 month ago ,Unit ,Fullstack Engineer," Tel Aviv-Yafo, Tel Aviv District, Israel","About UnitUnit is building the platform to power the next generation of financial services. Our mission is to help companies expand financial access for all. Our simple and powerful banking-as-a-service API helps companies launch bank accounts, cards, payments, and lending in weeks - not years.Unit was founded by a team with deep fintech and financial services experience and the first banking-as-a-service platform to reach unicorn status. We have raised over $169 million to date from top investors including Insight Partners, Accel, Better Tomorrow Ventures, Aleph, and Flourish and serve 140+ customers including AngelList, Honeybook, Roofstock, and many more.Key ResponsibilitiesDevelop front-end architecture & interactive user interfacesWrite reusable code, components and libraries for future useWork closely with UI/UX designers to deliver high-quality responsive web applicationsCode the next generation of Unit’s dashboard and white-labeled solutionsBring new ideas, technologies and workflows for the team’s needsWHAT WE'RE LOOKING FOR?5+ years of experience as a Fullstack Engineer Frontend and backend development in all aspects of web applications architecture, design, and implementation. Strong knowledge of CSS, JavaScript (ES6+), HTML, ReactJS, and modern web standards. Experience with Node.JSExperience with large-scale DBS (NoSQL or RDBMS)Advantage: Experience with TypescriptAdvantage: Experience with Java/ScalaAdvantage: Experience working on large-scale web applications systems. Proactive, good interpersonal and problem-solving skills, and passion for learning new thingsTeam player and able to work independentlyLIFE AT UNITWorking at Unit means joining a global team on a mission to create a more equitable financial ecosystem.We’re a fast-growing team of individuals who are passionate about their work, see the big picture and always seek to empower our clients and their end-customers.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2em28q73"", ""https://tinyurl.com/2em28q73"")"
27,1 week ago ,Stratasys ,Full- Stack SW Engineer," Rehovot, Center District, Israel","Stratasys is a world leader in 3D printing!Stratasys is leading the global shift to additive manufacturing with innovative 3D printing solutions for industries such as aerospace, automotive, consumer products and healthcare. Through smart and connected 3D printers, polymer materials, a software ecosystem, and parts on demand, Stratasys solutions deliver competitive advantages at every stage in the product value chain. The world’s leading organizations turn to Stratasys to transform product design, bring agility to manufacturing and supply chains, and improve patient care.What You Will Be DoingBuild and deliver great user experiences that revolutionize how things are made.Create and polish new libraries and components as we build out our applications with React and Node.jsCollaborate with our designers, product managers, and other engineers on your team to solve tough product challenges with clean interfaces and experiences.Identify and address performance issues.Encourage good patterns of architecting and organizing the code for long-term maintenance and extensibility.Must Have In This RoleAt least 6 years of hands-on experience:Experience in development using JavaScript, C#, React, Node.js,Advantage- Experience in Agile project management, Scrum management and Jira platformPractical experience with Flux/Redux,Ability to write testable, documented, resilient code, with effective unit and integration tests.What You Will Be Part OfCompany Overview - https://www.stratasys.com/en/about-us/history/Our Culture and Values - https://www.stratasys.com/en/about-us/culture/Our Sustainability “3D Printing a Better Tomorrow” - https://www.stratasys.com/en/about-us/sustainability/Our Locations - https://www.stratasys.com/en/contact-us/office-locations/Check out our Video - https://www.youtube.com/watch?v=6wmDfmt2bNI
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2dv2y4wv"", ""https://tinyurl.com/2dv2y4wv"")"
28,1 month ago ,Networx ,Back-end Developer (PHP)," West Jerusalem, Jerusalem District, Israel","3+ years of experience as a Back End DeveloperPHP experience some strongly-typed language (Java, Python etc)- A plusHands-on experience working with relational DB engines (SQL,MYSQL etc)Smart, independent, accountable and a team player. English at mother-tongue level. Familiarity with Docker, Kubernetes, Kafka, KV stores (Redis, DynamoDB), AWS/GCP is a plus. Experience with Javascript and React - a plus. Excellent knowledge and understanding of OOP concepts and best practices. BenefitsNetworx is offering the option of a hybrid schedule so get ready to work from home!Our offices are located in Jerusalem | Full-time position
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2myzpxwg"", ""https://tinyurl.com/2myzpxwg"")"
29,1 month ago ,Connecteam ,Platform Backend Engineer," Tel Aviv-Yafo, Tel Aviv District, Israel","Who Connecteam is:Connecteam is a fast-growing startup that is on a mission to change the deskless work experience. With over 3.8B deskless workers across the globe, the challenges and potential are endless.We are growing our team and are looking for a talented, experienced, passionate, and driven Platform Backend Engineer to join our team based in TLV.Join us to help shape the future of work!What's the job?We're looking for an experienced & hands-on Backend Engineer to work closely with the CTO,building a Data Platform and Product for the business teams in Connecteam.You will work with large datasets and systems that need to meet the scaling demands,and will develop internal tools that give the company the ability to makedata-driven decisions.What you'll be doing:Develop internal tools for different teams in ConnecteamDevelop microservices and APIs for a variety of flowsWork in a real-time, Event-driven environmentCreate data pipelinesTake Ownership of multiple systems and productsDevelop & Deploy Machine Learning pipelines to production, based on event-driven flowsWork in a multi-cloud environment(Azure/GCP/AWS)Create Integrations to third-party toolsTranslate business requirements to technical specificationsOur Stack - Python, BigQuery, Redis, RabbitMQ, MySQL, Tornado, SQLAlchemy, Airflow, Airbyte, NewRelic, Elastic, K8SWhich qualifications you'll need:At least 5 years of experience with Python, or equivalent programming language At least 5 years of experience as a Backend EngineerExperience in writing microservices and REST APIsProficient in SQLExperience with Event-based developmentExperience with big data and high velocity & volume systems(nice to have)Hiring process with us: At Connecteam, we aim to complete our hiring processes at lightning speed, keeping the time between when we receive your CV until you (hopefully) sign with us super short, communicative and transparent.Joining Connecteam Is The Smart Move:We build our people up. Every team member is treated as a long-term investment and we recognize the value in always nurturing and training them so they can go above and beyond in their skills and job duties. We make an impact on our customer's business. We are on a mission to provide managers of all business types and sizes with the tools they need to communicate, operate, engage, and run their deskless workforce. Our product offers them an effective and affordable solution to run their business. We get the job done. Connecteam employees are passionate in executing their job duties so they can drive the company forward and provide real value to our customers. We have fun! From weekly happy hours to holiday parties, we always enjoy each other's company (and good food, of course). Connecteam is like one big, happy family!Everyone is welcome. Connecteam is committed to building an encouraging, caring, and supportive environment. We share a responsibility to support our team and enrich their lives. Together we will shape the future of work!Our privacy policy
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2eul6qnq"", ""https://tinyurl.com/2eul6qnq"")"
30,1 month ago ,Noogata ,Full Stack Engineer," Tel Aviv-Yafo, Tel Aviv District, Israel","5+ years development experience in application development on an enterprise software productFull-stack by heart. Work seamlessly on frontend, APIs and backend application codeExperience with React and Typescript building enterprise software applications with great usabilityExperience with NodeJS and/or Python or equivalent backend stacksExperience working with databases (Postgres, MySQL), Queues/Streams (SQS, RabbitMQ, Kafka) and other ""big data"" tools (ElasticSearch, Spark/Dask, Snowflake)Experience with cloud (GCP, AWS, Azure) and operating microservices in productionAdvantages:Experience with KubernetesExperience with pipeline technologies: Argo, Kubeflow, Perfect, AirflowExperience working with and production monitoring tools (Prometheus, Logz, Datadog, Rollbar, Sentry, etc.)Experience with modern enterprise software, including a passion for usability and an eye for elegant designLove open-source and learning new technologies
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2ks47pyt"", ""https://tinyurl.com/2ks47pyt"")"
31,1 month ago ,Pery ,Full Stack Engineer," Petah Tikva, Center District, Israel","ResponsibilitiesBe a fundamental member of Periapt’s engineering team, implementing new and exciting features, end-to-end, alongside the product team.Play an integral role in designing Periapt’s system architecture, from whiteboard sessions to actual implementation, and deliver end-to-end features.Translate product requirements into high-quality, maintainable, testable code.Own your code-write, test, and deploy your code into production. Have full e2e accountability over the features you create.Create internal and customer-facing applications that improve engagement and clinical outcomes.Help design and establish software development methods for the team.As our engineering team grows - mentor other engineers to help them improve their software technical skills and development methods.Tackle tough problems and find creative ways to solve them.What We Are Looking ForAt least 4 years of Proven real-world experience as a full stack developer with 2 of those years focused on Node.js OR Flutter development.Experience with developing and monitoring micro-service architecture.You welcome complex problems and work until you can find a workable solution.You work cross-functionally and hold yourself accountable.BSc in computer science - or equivalentNice To Have, But Certainly Not NecessaryAmazon Web Services experience: specifically VPC, EC2, EBS, S3, Redshift, and RDSExperience working for a consumer Internet company.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2m5s7hob"", ""https://tinyurl.com/2m5s7hob"")"
32,1 week ago ,Qualitest ,#9118 - Backend Developer," Petah Tikva, Center District, Israel","Computer science degree or software engineering- MUST1- 2 years experience as a developer using program language- C and C++ - MUST high-level EnglishEmbedded experience- advantageNetwork experience- advantagework with Binary and Hexadecimal numbersbitwise operations and memory allocation.BenefitsWhy Qualitest?Be a part of a leading Engineering company, globally recognized as a Visionary by Gartner Magic Quadrant Have continuous access to and work with Senior Quality Engineers and Experts Work with cutting-edge technology in a company built by Quality Engineers for Quality Engineers. This is what we do! Access to Learning & Development opportunities for building a strong and lasting career A supportive and inclusive work environment with truly good people As a global company, we offer unique placement opportunities around the world Our Qualitesters are the reason for our success. We constantly encourage career development and promote from within Intrigued to find out more about us?Visit our website at https://qualitestgroup.com/ Check out our Career page: https://qualitestgroup.com/careers/open-positions/
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2nksmr5l"", ""https://tinyurl.com/2nksmr5l"")"
33,2 weeks ago ,"Planview, Inc. ",Core Backend SW Engineer," Hod HaSharon, Center District, Israel","OverviewOur mission is to power fast, agile enterprises by creating a world where work is simplified, and goals are met.We offer an amazing opportunity for exceptional individuals to join our rapidly growing SaaS company serving hundreds of the largest customers in the world and deliver an innovative solution to help them carry out their work. Our products have been repeatedly recognized by Gartner and Forrester as market leaders.We're looking for a Backend SW Engineer to join our Product Development Team.Responsibilities Your Role As part of our highly professional software development team, you will design, implement, test, deploy and maintain the components addressing complex user scenarios. Some facts on our system: It is used by 100K of enterprise users around the world and this number is constantly growing  It is highly customizable, including a workflow engine as well as custom entities, custom fields, formulas & functions, custom UX and more  It is running on tens of servers on each site, running asynchronous calculations using a sophisticated infrastructure we designed to address our unique needs  We have more than 2 million lines of code on our server side only
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2ozo92jz"", ""https://tinyurl.com/2ozo92jz"")"
34,3 months ago ,DoorLoop ,Full Stack Engineer," Tel Aviv District, Israel","*** IMPORTANT*** Please do not apply with LinkedIn. Apply from here instead:https://www.doorloop.com/career/senior-full-stack-react-js-developer-israelCertified as a Great Place to Work®, DoorLoop is the easiest property management software used by landlords and property managers in over 100 countries worldwide.As a SaaS company with $30M in funding, 3 offices worldwide (Miami, London, Israel), and hundreds of thousands of units being managed, we are one of the fastest growing prop-tech companies with over 400% growth this year!We know what it takes to build a world-class company – and it all starts with a world-class team. If you want to work with a fast growing tech startup that values transparency, feedback, and growth, DoorLoop is for you.The RoleWe are looking for a super talented Senior React Full Stack JavaScript developer to join our team in our office in Tel-Aviv, Israel. Hybrid work is also offered. We have a very exciting roadmap of features planned, and are looking for someone who thrives in an innovative, fast-paced environment where their voice is heard when building new features or using new components.The pay is based on your experience and level of expertise. We are paying top of market rates plus benefits.You will:Help build new features into the existing product, and optimize existing pages.Help discover, diagnose, and fix any bugs or issues.Work with the design team to ensure everything matches our brand, is responsive, and works perfectly.Respond and troubleshoot any downtime events and create systems and procedures to prevent them from happening.Build automated QA tests to run before deploying to production.Brainstorm new ideas to enhance the software in any way.Help lead projects, build our dev team, and mentor junior developers.About YouPeople that do best in this role have these personality traits and work habits:Organized and focusedCoachable and trainable, open to learning and listening from your peers and those around youWilling to adapt and learn as the company grows and the technology changesQualifications5+ years of development experience2+ years working with advanced React JS platformsExpert in working with scrum, keeping track of your sprints in Jira, and completing everything on timeBonus PointsExperience building dev teams and leading and managing projects from scratch.Worked for a SaaS startup before where you learned to be agile and move fast.Built your own application from scratch (or did the majority of the work) and can show a working concept, or anything in production.Bonus if you have 2+ years of experience working with node JS, mongo DB, TypeScript, or the MERN stack.Israel BenefitsUnlimited paid time off with unlimited personal, vacation, and sick days.Annual bonus based on your performance over the last 12 months.Free daily lunch and a micro kitchen with unlimited healthy snacks in our office prepared by Cibus.Annual company retreat in the US with our Miami team (all expenses paid).Work from our Miami or Israel office as much as you want, or work a few days from home on a hybrid schedule.Complimentary training in our Miami office for up to one month.Career development with unlimited access to Udemy's courses and other growth opportunities.‍World-class training program where you're paired with an onboarding buddy to ensure your success.Monthly investment classes from our co-founders on how to invest your money in a diversified portfolio of real estate, stocks, crypto, NFT, & more.Work in Tel Aviv, the most vibrant city worldwide with great restaurants, activities, and walking distance from the beach.No micromanagement - We believe responsible people thrive on freedom.Great equipment - Ergonomic chairs, Mac or PC laptops, dual monitors, and more.No rules - No dress code, policies, or handbooks. Just do great work & have fun!Additional InformationWe offer tons of opportunities to train, mentor, and help others if that's what gets you fired up!We promise we won't waste your time in long, boring, and unnecessary meetings. There are no politics here, no long approval processes, and no micromanagement.If you're looking to work with a small team where you can make an impact and see your code deployed to thousands of customers every month, then DoorLoop is for you.You will be working directly with two of our co-founders (our CEO Ori Tamuz and CTO Itay Gardi) so if you want to get something done, let's make it happen!You can learn more about us from our careers page. We look forward to hearing from you soon!*** IMPORTANT*** Please do not apply with LinkedIn. Apply from here instead:https://www.doorloop.com/career/senior-full-stack-react-js-developer-israel
Show more
Show less",Full-time,"=HYPERLINK(""https://tinyurl.com/2mee5z8y"", ""https://tinyurl.com/2mee5z8y"")"
35,1 week ago ,Optimove ,Fullstack Developer," Tel Aviv-Yafo, Tel Aviv District, Israel",":Sc. in computer science or equivalentAt least 4 years of experience in full-stack developmentClient -Angular frameworkServer -.NET Framework, C#, and .net CoreExperience with MS SQL / PostgreSQL serverExperience with Docker , Kubernetes and microservicesExperience with PubSubExperience with RESTful Web APIDeep understanding of OOP principles and designAdvantage:Experience with GCPExperience with Azure pipelinesPython knowledgeExperience with Auth0Experience with Snowflake
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2e7g8slk"", ""https://tinyurl.com/2e7g8slk"")"
36,2 weeks ago ,Cato Networks ,Backend Engineer," Tel Aviv-Yafo, Tel Aviv District, Israel","4-5 years of web development. We’re using Java, Go, Spring boot, etc.4-5 years of Java/Go server-side development Architect, design, and develop a complex web applicationFamiliarity with NoSQL DBs and relational DBs. We're using Elasticsearch, MySQL, Redis. Experience with microservices - AdvantageProven track record of designing and implementing heavy duty big data applications - Advantage Familiar with AWS technologies - Advantage A team player with excellent collaboration skills Able to self-learn new skills and technologies Motivated, a fast learner, independent, and great at problem-solving BSc. degree in Computer Science from a known university
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2q9l9h2u"", ""https://tinyurl.com/2q9l9h2u"")"
37,2 weeks ago ,OpenWeb ,Backend Engineer," Tel Aviv-Yafo, Tel Aviv District, Israel","We create a safe space for communities to thrive.OpenWeb's mission is to improve the quality of conversations online, building a healthier web where content creators of all kinds are empowered to thrive. As a product company, OpenWeb partners with publishers and brands to build strong, direct relationships with their audiences.OpenWeb's technology empowers its partners to build vibrant communities rooted in healthy conversations and robust social experiences. OpenWeb works with more than 1,000 top-tier publishers, hosting more than 100 million active users each month.Founded in 2015, OpenWeb has nearly 300 employees in New York City, Tel Aviv, Kyiv, San Diego, Canada, London, and Paris and is backed by world-class investors, including Georgian, Insight Partners, Entrée Capital, The New York Times, Samsung Next, Dentsu, and ScaleUp. To date, the company has raised $393 million in funding and is currently valued at $1.5 billion.To learn more about OpenWeb's platform, visit OpenWeb.com, or follow @OpenWebHQ on LinkedIn and Twitter.What You'll Do:Your Mission. Design, develop and execute features from sketch to production that will have a huge business impact on the core products at OpenWeb. High Impact. Ramp up the technical level of your team & cross-backend engineers Own your mission. Develop high-priority projects to make the most scalable, high-velocity products on the market. Lead. As part of a team developing with a complex micro-services backend architecture, you'll work with the team and lead us towards solutions for large-scale challenges. Dream Team. You'll join an agile dev squad of engineers who are all highly talented, very collaborative and excited to hear your opinion. You will report to the Squad Engineering Manager. What You'll Bring:5+ years of experience building highly scalable, SaaS web productsFluent in any 2 programming languagesExperience with Golang, Node.js, RubyExperience with SQL and NoSQL databases, Docker, K8s/ECS/Nomad or similar, AWS or similar public cloud, Experience in microservices architecture, distributed systems & high scale The OpenWeb CultureWe offer a dynamic and unconventional work environment that spans from NYC to London, France, Kyiv, and Tel Aviv, bringing together a diverse group of world-class and high-caliber techies, wordsmiths, entrepreneurs, and creative thinkers. We empower every individual across our global team to be a catalyst for change and strive to create a work environment where you can have the utmost autonomy over your role and projects from start to finish. If you want to join an innovative tech company where you can challenge yourself, have the freedom to own your work, and make a lasting impact, then you have a spot within our growing community!OpenWeb is committed to building diverse teams and upholding an equal employment workplace that is free from discrimination. We hire amazing individuals regardless of their race, color, ancestry, religion, sex, gender identity, national origin, sexual orientation, age, citizenship, marital status, pregnancy, medical conditions, genetic information, disability, or Veteran status.Build your skills with us as you build a better web for everyone. Join us!Also, we care about your privacy! Please take a moment to review OpenWeb's Privacy Practices
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2eovpy7c"", ""https://tinyurl.com/2eovpy7c"")"
38,2 months ago ,abra Strategy Realization ,Full Stack Developer," Petah Tikva, Center District, Israel","חברת abra מגייסת Full Stack Developer לפעילות BI& Developmentאנחנו מחפשים מפתח full stack למחלקת הפיתוח, הצוות אחראי על הקמה, פיתוח ותחזוקה של מערכות, מנגנונים וממשקים לטובת תמיכה בשינויים רגולטוריים. העבודה הינה מול מגוון רחב של צוותים בארגון: מנתחי מערכות, צוותי פיתוח אחרים, סיסטם, DBA, בקרת איכות ועוד.מי יתאים לנו ?ניסיון של 3 שנות ניסיון בתכנותניסיון בפיתוח Server side ב C#ניסיון בפיתוח Client side ב jQuery, Angular, HTML5, JavaScript, CSSניסיון ב- NET CORE.ניסיון בפיתוח Web APIניסיון בעבודה עם בסיסי נתונים בעדיפות ל SQL Server
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2g6w7alm"", ""https://tinyurl.com/2g6w7alm"")"
39,2 weeks ago ,HUMAN ,Full Stack Developer - Account Defender," Tel Aviv-Yafo, Tel Aviv District, Israel","HUMAN was founded in 2012 in a Brooklyn sci-fi bookstore by Tamer Hassan, Michael Tiffany, Dan Kaminsky, and Ash Kalb. Our humble beginnings led to the creation of the Human Defense Platform, the backbone of all our products that safeguards enterprises from sophisticated bot attacks, fraud, and account abuse. Today we verify the humanity of more than 20 trillion interactions per week for some of the largest companies and internet platforms.Our hacker roots still permeate everything we do. You will be a part of the HUMAN front line in our commitment to helping protect companies (and in turn, their customers) from both revenue and reputation risk caused by malicious bots. However, HUMAN is not the center of this story. Humans like yourself are. We firmly believe in putting people first. This approach spans our extensive total rewards package, inclusive of competitive compensation, benefits, stipends - as well as our day-to-day culture - to ensure every human is empowered to do the best work of their life. We want to hear about the marathon you’re training for. We want to see pictures of your pets. We want to know your favorite robot (we have many).The HUMAN R&D team is pivotal to our mission. They are the ones uncovering and fighting bot operations like PARETO, ICEBUCKET, 3ve, and Methbot. HUMAN supports our R&D humans by strongly valuing deep work and flexibility. HUMAN is fully committed to flexible working arrangements to ensure our humans are able to do the best work of their lives.We want to work with people like you who break down problems to build up better solutions. That’s what makes us HUMAN.You’ll be joining us at an exciting moment in the HUMAN story: we joined forces with PerimeterX in a market-changing merger , as well as recently acquired clean.io to enhance the Human Defense Platform. Together under the HUMAN brand, we will disrupt the economics of cybercrime. We hope you can join us in that mission.Join HUMAN and help protect the internet from cybercriminals! HUMAN has just launched its Account Defender product and is looking for a talented and eager Full Stack Engineer to join the adventure, who really loves solving high-scalability challenges using cutting-edge technologies. HUMAN Account Defender prevents fraudsters from attacking our customers’ users, and also from creating fake accounts in their systems. You'll be working on the product’s console, building beautiful and user friendly screens, in use by our customers to manage our systems which are handling billions of requests daily and analyzing data to prevent real-time web attacks. You will also work closely with other departments - UX, product, engineers, research, etc.- and lead features from scratch to production.What you'll do:Join the fresh and exciting new HUMAN’s product in its early stage, as one of its first engineers. Be a main figure in a core, flat team (engineers, product, researchers, data scientists).Own and lead very cool and exciting client side features and screens from scratch to production, with a great end-user experience and importancy for the details.Work and develop deep pure javascript elements within our product detection components.Work closely with other fullstack engineers from HUMAN guild, engineers, researchers, product managers, DevOps, and other team members within the company.Write and use the most cutting-edge technologies for code, databases, CI/CD, and data pipelines - Javascript, React, React-QueryNode.js , SQL and NoSql, MongoDB, Redis, Kafka, Elastic, GCP, BigQuery, and more!Special bonus for the ones who got until now: a quick demo of our product, so you’ll know what you will work about soon: https://www.humansecurity.com/products/account-defender  Who you are: B.Sc . in Computer Science or equivalent.3+ years of experience as a fullstack developer, with a strong understanding of frontend and backend technologies.Proficiency in JavaScript, including modern language features and design patterns, and willness to work on the very deep elements of JS and browser.Experience with React, including React-Query and other common libraries and tools.Experience with Node.js , including Express and other common libraries and tools.Experience with SQL and NoSQL databases - an advantage.Experience with building RESTful APIs - an advantage.Ability to take responsibility and work independently ""Can do"" attitude with strong interpersonal and communication skills.Life at HUMAN:HUMAN prides itself on being an equal opportunity workplace. We firmly believe in putting people first regardless of who you are, where you come from, how you identify, or who your favorite robot is (we have many). We are on a mission to protect the integrity of the internet for everyone, so we welcome all individuals to come to share their unique experiences and perspectives as we fight against cybercrime together!With Humans located in all parts of the world, we’ve fully embraced our diversity of thought and are always looking for innovative ways to connect with one another - even in virtual reality! Although New York City is our HQ, with teams in London, Virginia, and Victoria, we trust our Humans in choosing where they work and how they work. The benefits package we provide reflects our remote-first culture and our commitment to our Humans’ personal career development, which includes annual stipends for home office setup, wellbeing, and learning & development. We also offer flexible time off, no-meeting Fridays, HUMAN days, sabbatical programs, and so much more.We’re constantly trying to anticipate the needs of our Humans to ensure each one of us is equally prepared to do some of the best work of our life. Taking care of one another is part of the HUMAN experience and how we build true HUMAN connections.If you are an individual with a disability or special need that requires accommodation, please contact us directly.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2jtnvvyc"", ""https://tinyurl.com/2jtnvvyc"")"
40,1 day ago ,kramer ,Backend Engineer, Israel,"Who are we?We are audio-visual experts from around the world designing the future of engagement technology.Our audio-visual experiences power creativity, collaboration, and engagement. From signal management to advanced cloud-based communication, collaboration and control solutions, Kramer technology breaks down walls, bridges gaps, and makes people feel closer together even when they're far apart.We believe that technology can amplify the human experience and help people reach their potential. Our vision for the future calls for fantastic thinkers and doers, from all corners of the world and all walks of life. We trust each other. We empower each other. We speak from the heart, and we always go the extra mile for our colleagues and customers.Kramer is seeking an experienced Backend Developer to join our SW development team.We are looking for talented and energetic software development engineer eager to build next generation control, analytics, and automation platform to join our team to work on our backend infrastructure and application systems.The roleYou’ll be responsible for refactoring our engineering core, develop our global scale and technology assets that will interact with on-premises devices and stream data in/out to our public cloud’s applications for analytics and execution/monitoring purposes.Minimum QualificationsBachelor’s degree in computer science, a related technical field, or equivalent practical experience. 4+ years’ experience in backend development (must) Fluency in Java, Spring Boot (must) knowledge of source-control, provisioning tools, monitoring, CI/CD pipelines, containers experience with cloud-computing (AWS) And services (S3, EC2, RDS, ECS, LAMBDA, Etc.) Experience with asynchronous / message-based Experience in object-oriented design and programming conceptsPreferred qualifications: Knowledge of agile software development methodologies. Solid understanding of runtime environment: Linux, JVM – an advantage Good familiarity with SQL and databases Excellent interpersonal skills and verbal communications. Self-motivated and independent worker. Fluent English Powered by JazzHR
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2fe8d94j"", ""https://tinyurl.com/2fe8d94j"")"
41,1 month ago ,Juganu ,R&D Backend Engineer," Or Yehuda, Tel Aviv District, Israel","BSc or BA in Computer Science or Electronic Engineering or equivalent experienceWorking knowledge with backend micro-services architecture, Linux environments (Kernel/User/Networking stack/NW drivers)4+ years of experience developing/supporting large scale solutions.Excellent communication skills and a team playerDeep understanding of micro-service architectureExcellent skills in c++, go and Python languagesUnderstanding of Wireless communication with focus on Wi-Fi is an advantageExperience with Linux Open Embedded frameworkWorking knowledge in Wi-Fi 802.11AC/AX, specifically with Qualcomm driver is a big plusWorking knowledge in VMS, AI/Server Analytics/Edge Analytics/IoT/MQTT/KafkaWorking knowledge in SecurityWorking knowledge in synchronized wireless communication protocols.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2oepdnd2"", ""https://tinyurl.com/2oepdnd2"")"
42,1 month ago ,inManage ,Junior Backend Developer (PHP)," Tel Aviv-Yafo, Tel Aviv District, Israel",":B.sc in computer science or other related fieldKnowledge of PHP7, MYSQL - an advantage.Knowledge of python - an advantage. Personal Projects would be considered as experience.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2l7evnnr"", ""https://tinyurl.com/2l7evnnr"")"
43,3 days ago ,Moon Active ,Backend Developer," Tel Aviv-Yafo, Tel Aviv District, Israel","At least 4 years of backend development experienceBSc in computer science or equivalentExperience with distributed systems and micro services architectureExperience with NoSQL DatabasesExperience in high scale systemsSelf-learner, strong can-do attitude and great interpersonal skillsAn AdvantageHigh proficiency in Node.JS and JavaScript (including ES6)Familiarity with AWS cloud services / infrastructureFamiliarity with Redis
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2l5ocadt"", ""https://tinyurl.com/2l5ocadt"")"
44,3 days ago ,Snappy ,Full Stack Engineer," Tel Aviv-Yafo, Tel Aviv District, Israel","3+ years of software full stack engineering1+ years of Node.js and frameworks available for it 1+ years of experience with React frameworks (advantage)Experience with Serverless technologies (advantage)Snappy is an award winning, all-in-one gifting platform that helps companies reward their employees and customers - boosting loyalty and engagement through a fun and engaging digital experience. Snappy’s gifting algorithm automates the selection and sending off personal gifts and messages at scale, and notifies recipients through fun and personalized digital unboxing experiences.We specialize in building recognition programs for all sorts of businesses - Amazon, Zoom, Salesforce, Microsoft, Uber, Deloitte and over 3000 more, Plus, we're growing everyday, if you want to get technical!We've seen firsthand that our experience boosts morale, improves performance, and (most importantly!) spreads joy.Snappy has its headquarters in New York and 300 employees in four countries (New York, Tel-Aviv, London, and Ukraine).
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2g9z3e3j"", ""https://tinyurl.com/2g9z3e3j"")"
45,2 weeks ago ,ryze ,Fullstack PHP Developer," Tel Aviv District, Israel","Extensive experience in design and development of web applications.At least 3-5 years of experience.At least 2 years of working experience with PHPAt least 1 year of working experience with ReactExperience with Relational and NoSQL databasesExperience with Responsive UI (CSS/SASS)Experience with Linux environment and containers (docker)Experience with cloud- based server infrastructure AdvantagesExperience with SOA (service-oriented architecture), microservices and kubernetesDeep knowledge of NodeJS & ExpressExperience with WordpressExperience with Agile development, including CI/CDGood understanding of Agile / Scrum methodologies.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2fj4llao"", ""https://tinyurl.com/2fj4llao"")"
